Go.	Gå!
Tom hesitated.	Tom tøvede.
Tom is a wimp.	Tom er en skvat.
Tom is a wimp.	Tom er en pjok.
Tom is a wimp.	Tom er en vatnisse.
Tom is a wimp.	Tom er en slapsvans.
Tom is a wimp.	Tom er en vatpik.
Tom is a wimp.	Tom er en svækling.
Tom is absent.	Tom er fraværende.
Tom is afraid.	Tom er bange.
Tom is crying.	Tom græder.
Tom is frugal.	Tom er sparsommelig.
Tom is in bed.	Tom er i seng.
Tom is my dad.	Tom er min far.
Tom is scared.	Tom er bange.
Tom is voting.	Tom stemmer.
Tom left town.	Tom forlod byen.
Tom loves you.	Tom elsker dig.
Tom loves you.	Tom elsker jer.
Tom shot Mary.	Tom skød Mary.
Tom was brave.	Tom var tapper.
Tom was sober.	Tom var ædru.
Tom was tired.	Tom var træt.
Tom won't eat.	Tom vil ikke spise.
Tom's adopted.	Tom er adopteret.
Tom's outside.	Tom er udenfor.
Tom's packing.	Tom pakker.
Tom's working.	Tom arbejder.
Was Tom angry?	Var Tom vred?
We are at war.	Vi er i krig.
We are hungry.	Vi er sultne.
We drank beer.	Vi drak øl.
We had a deal.	Vi havde en aftale.
We need money.	Vi har brug for penge.
We want peace.	Vi ønsker fred.
We were ready.	Vi var klar.
We'll succeed.	Vi klarer det.
We're cousins.	Vi er søskendebørn.
We're friends.	Vi er venner.
What a relief!	Sikke en lettelse!
What a relief!	Hvilken lettelse!
What happened?	Hvad er der sket?
What happened?	Hvad skete der?
What is a UFO?	Hvad er en ufo?
What is truth?	Hvad er sandhed?
Where are you?	Hvor er du?
Who called me?	Hvem ringede til mig.
Who found her?	Hvem fandt hende?
Who said that?	Hvem sagde det?
Who said that?	Hvem har sagt det?
Who says that?	Hvem siger det?
Who was right?	Hvem havde ret?
Write it down.	Skriv det ned!
You did great.	Du gjorde det godt.
You look pale.	Du ser bleg ud.
You may enter.	Du må godt komme ind.
You must come.	Du skal komme.
You need this.	Du har brug for dette.
You need this.	Du har brug for denne.
You need this.	Du har brug for det her.
You need this.	Du har brug for den her.
You will fail.	Det vil mislykkes for dig.
You're insane.	Du er sindssyg.
You're pretty.	Du er smuk.
A beer, please.	En øl, tak!
A bird can fly.	En fugl kan flyve.
Act like a man.	Opfør dig som en mand.
Ain't she cute?	Er hun ikke sød?
Am I not right?	Har jeg ikke ret?
Apples are red.	Æbler er røde.
Are you crying?	Græder du?
Are you famous?	Er du berømt?
Are you famous?	Er I berømte?
Are you paying?	Betaler du?
Are you polite?	Er du høflig?
Birds lay eggs.	Fugle lægger æg.
Birds lay eggs.	Fuglene lægger æg.
Boil the water.	Kog vandet.
Both are alive.	Begge lever.
Both are alive.	Begge to er i live.
Can I help you?	Kan jeg hjælpe dig?
Can I help you?	Har du brug for hjælp?
Can I help you?	Kan jeg hjælpe jer?
Can I help you?	Har I brug for hjælp?
Can I kiss you?	Må jeg kysse dig?
Cats are great.	Katte er storartede.
Close the book.	Luk bogen.
Close the book.	Luk bogen!
Close the door.	Luk døren.
Close the gate.	Luk porten.
Come down here.	Kom herned!
Cows eat grass.	Køer spiser græs.
Do it this way.	Gør det på denne måde.
Do you like it?	Kan du lide det?
Do you love me?	Elsker du mig?
Do you miss me?	Savner du mig?
Does it matter?	Har det nogen betydning?
Does this hurt?	Gør det her ondt?
Don't complain.	Klag ikke.
Don't leave us.	Forlad os ikke!
Don't tempt me.	Frist mig ikke.
Don't touch me!	Rør mig ikke.
Don't touch me.	Rør mig ikke.
Get in the van.	Stig ind i varevognen.
Get on the bus.	Stig på bussen.
Get on the bus.	Stig på bussen!
Give it to her.	Giv hende det.
Give it to her.	Giv det til hende.
Give me a hand.	Giv mig en hånd.
Give me a week.	Giv mig en uge.
Go back to bed.	Gå i seng igen.
Happy New Year!	Godt Nytår!
Happy New Year!	Godt nytår!
Happy birthday!	Tillykke med fødselsdagen!
He can't do it.	Han kan ikke gøre det.
He cannot swim.	Han kan ikke svømme.
He deserved it.	Han fortjente det.
He is Canadian.	Han er canadisk.
He is a doctor.	Han er læge.
He is a writer.	Han er forfatter.
He is an actor.	Han er skuespiller.
He lives alone.	Han bor alene.
He looks tired.	Han så træt ud.
He loves music.	Han elsker musik.
He surrendered.	Han overgav sig.
He's a big boy.	Han er en stor dreng.
He's an author.	Han er forfatter.
Here is my key.	Her er min nøgle.
His name's Tom.	Hans navn er Tom.
How about that!	Hvad siger du så!
How about that!	Hvad siger I så!
How good is he?	Hvor god er han?
I already know.	Jeg ved det allerede.
I am a student.	Jeg er studerende.
I am a tourist.	Jeg er en turist.
I am exhausted.	Jeg er udmattet.
I bike to work.	Jeg cykler til arbejde.
I bike to work.	Jeg tager cyklen til arbejde.
I blame myself.	Jeg bebrejder mig selv.
I blame myself.	Jeg giver mig selv skylden.
I broke my arm.	Jeg brækkede armen.
I broke my leg.	Jeg brækkede benet.
I can prove it.	Jeg kan bevise det.
I deserve that.	Jeg fortjener det.
I didn't do it.	Jeg har ikke gjort det.
I dislike eggs.	Jeg bryder mig ikke om æg.
I drink coffee.	Jeg drikker kaffe.
I followed Tom.	Jeg fulgte Tom.
I get off here.	Jeg stiger af her.
I get off here.	Jeg står af her.
I get off here.	Jeg stiger ud her.
I go to school.	Jeg går i skole.
I hate carrots.	Jeg hader gulerødder.
I hate spiders.	Jeg hader edderkopper.
I hate spinach.	Jeg hader spinat.
I have a horse.	Jeg har en hest.
I have a truck.	Jeg har en lastbil.
I have the key.	Jeg har nøglen.
I know the way.	Jeg kender vejen.
I let Tom down.	Jeg svigtede Tom.
I like the dog.	Jeg kan lide hunden.
I love cooking.	Jeg elsker at lave mad.
I love dessert.	Jeg elsker dessert.
I love lasagna.	Jeg elsker lasagne.
I made muffins.	Jeg har lavet muffins.
I need a stamp.	Jeg har brug for et frimærke.
I pay Tom well.	Jeg betaler Tom godt.
I quit smoking.	Jeg er holdt op med at ryge.
I said take it.	Jeg sagde: "Tag det!"
I see the girl.	Jeg ser pigen.
I see your pen.	Jeg ser din pen.
I speak French.	Jeg taler fransk.
I teach French.	Jeg underviser i fransk.
I want to live.	Jeg ønsker at leve.
I want to live.	Jeg vil leve.
I was all ears.	Jeg var lutter øren.
I was all ears.	Jeg var lutter øre.
I was barefoot.	Jeg var barfodet.
I was homesick.	Jeg havde hjemve.
I was tortured.	Jeg blev tortureret.
I was tortured.	Jeg blev torteret.
I wasn't lucky.	Jeg var ikke heldig.
I wish I could.	Gid jeg kunne!
I write poetry.	Jeg skriver poesi.
I'll move soon.	Jeg flytter snart.
I'll shoot you.	Jeg vil skyde dig.
I'll wait here.	Jeg venter her.
I'm a free man.	Jeg er en fri mand.
I'm a free man.	Jeg er et frit menneske.
I'm an atheist.	Jeg er ateist.
I'm doing well.	Jeg har det godt.
I'm frightened.	Jeg er skræmt.
I'm from Kyoto.	Jeg er fra Kyoto.
I'm frustrated.	Jeg er frustreret.
I'm in the car.	Jeg er i bilen.
I'm interested.	Jeg er interesseret.
I'm making tea.	Jeg laver te.
I'm never here.	Jeg er aldrig her.
I'm not a baby.	Jeg er ikke en baby.
I'm not afraid.	Jeg er ikke bange.
I'm not famous.	Jeg er ikke berømt.
I'm not guilty.	Jeg er ikke skyldig.
I'm not hungry.	Jeg er ikke sulten.
I'm often here.	Jeg er her ofte.
I'm often here.	Jeg er her tit.
I'm often here.	Jeg er tit her.
I'm often here.	Jeg er ofte her.
I'm right here.	Jeg er lige her!
I'm unemployed.	Jeg er arbejdsløs.
I'm very sorry.	Det må du meget undskylde.
I'm very tired.	Jeg er meget træt.
I've been busy.	Jeg har haft travlt.
Is he a doctor?	Er han en læge?
Is he a doctor?	Er han læge?
Is it in there?	Er den derinde?
Is it in there?	Er det derinde?
Is that French?	Er det der fransk?
It gets better.	Det bliver bedre.
It is Saturday.	Det er lørdag.
It is a secret.	Det er en hemmelighed.
It is ice cold.	Det er iskoldt.
It isn't cheap.	Det er ikke billigt.
It makes sense.	Det giver mening.
It makes sense.	Det er fornuftigt.
It makes sense.	Det lyder fornuftigt.
It was nothing.	Ingen årsag!
It was snowing.	Det sneede.
It was so dark.	Det var så mørkt.
It wasn't ours.	Det var ikke vores.
It's Christmas.	Det er jul.
It's Wednesday.	I dag er det onsdag.
It's a classic.	Det er en klassiker.
It's a miracle.	Det er et mirakel!
It's brand new.	Den er helt ny.
It's expensive.	Det er dyrt.
It's hot today.	Det er varmt i dag.
It's not clean.	Det er ikke rent.
It's not funny.	Det er ikke sjovt.
It's not funny.	Det er ikke morsomt.
It's too large.	Det er for stort.
It's too small.	Det er for lille.
It's too small.	Den er for lille.
It's very cold.	Det er hundekoldt.
It's wonderful!	Det er vidunderligt!
Kids are cruel.	Børn er grusomme.
Large or small?	Stor eller lille?
Leave it to me.	Overlad det til mig.
Leave me alone!	Lad mig være!
Leave me alone!	Lad mig være i fred!
Let us go home.	Lad os gå hjem.
Let's meet Tom.	Lad os møde Tom.
Let's play tag.	Lad os lege tagfat.
Let's play tag.	Lad os lege fangeleg.
Let's watch TV.	Lad os se tv.
Let's watch TV.	Lad os se fjernsyn.
Lunch is ready.	Frokosten er klar.
Make it happen.	Få det til at ske.
Mary looks hot.	Mary ser hot ud.
May I kiss you?	Må jeg kysse dig?
Money is power.	Penge er magt.
No one knew it.	Ingen vidste det.
Open the doors.	Åbn dørene.
Open the doors.	Åbn dørene!
Open your eyes.	Åbn dine øjne.
Open your eyes.	Åbn jeres øjne.
Read this book.	Læs denne bog.
Read this book.	Læs denne bog!
Say that again.	Gentag det!
Say that again.	Sig det igen!
Shall we dance?	Skal vil danse?
She cooks well.	Hun er god til at lave mad.
She hugged him.	Hun omfavnede ham.
She is out now.	Hun er ude nu.
She kissed him.	Hun kyssede ham.
She might come.	Hun kommer måske.
She's Canadian.	Hun er canadisk.
She's pregnant.	Hun er gravid.
Spring is here.	Foråret er kommet.
Spring is here.	Foråret er her.
Stop the train.	Stop toget.
Summer is over.	Sommeren er forbi.
Summer is over.	Sommeren er omme.
Take your time.	Tag din tid.
Tell everybody.	Fortæl det til alle.
Tell the truth.	Sig sandheden.
Tell the truth.	Sig sandheden!
That's my wife.	Det er min hustru.
That's my wife.	Det er min kone.
That's the law.	Sådan er loven.
That's too bad.	Det var da kedeligt!
That's too bad.	Det er for galt!
That's too bad.	Det var synd!
That's unusual.	Det er usædvanligt.
The birds sang.	Fuglene sang.
They are wrong.	De tager fejl.
They asked him.	De har spurgt ham.
They bought it.	De købte det.
They bought it.	De købte den.
They quarreled.	De skændtes.
They want more.	De vil have mere.
They were mine.	De var mine.
They're idiots.	De er idioter.
They're trying.	De prøver.
Think about it.	Tænk over det.
Think about it.	Tænk over det!
This is boring.	Det her er kedeligt.
This is my dog.	Det er min hund.
Time will tell.	Vi får se.
Tom can't sing.	Tom kan ikke synge.
Tom can't walk.	Tom kan ikke gå.
Tom gave blood.	Tom gav blod.
Tom got better.	Tom har fået det bedre.
Tom has a boat.	Tom har en båd.
Tom hates Mary.	Tom hader Mary.
Tom hates dogs.	Tom hader hunde.
Tom hates dogs.	Tom kan ikke fordrage hunde.
Tom helped out.	Tom hjalp.
Tom helped out.	Tom har hjulpet.
Tom is a hippy.	Tom er en hippie.
Tom is bipolar.	Tom har en bipolar lidelse.
Tom is bipolar.	Tom er bipolar.
Tom is bipolar.	Tom er maniodepressiv.
Tom is my name.	Tom er mit navn.
Tom is naughty.	Tom er fræk.
Tom is outside.	Tom er udenfor.
Tom is packing.	Tom pakker.
Tom is panting.	Tom gisper.
Tom is panting.	Tom er forpustet.
Tom is panting.	Tom hiver efter vejret.
Tom is panting.	Tom stønner.
Tom is psychic.	Tom er synsk.
Tom is psychic.	Tom er clairvoyant.
Tom is shocked.	Tom er chokeret.
Tom is working.	Tom arbejder.
Tom isn't here.	Tom er ikke her.
Tom kept watch.	Tom holdt vagt.
Tom likes rock.	Tom kan lide rock.
Tom likes rock.	Tom kan lide rockmusik.
Tom loves that.	Tom elsker det.
Tom loves this.	Tom elsker dette.
Tom passed out.	Tom besvimede.
Tom sings well.	Tom synger godt.
Tom took cover.	Tom gik i dækning.
Tom turned red.	Tom rødmede.
Tom was a jerk.	Tom var en nar.
Tom was a jerk.	Tom var et fjols.
Tom was a jerk.	Tom var en idiot.
Tom was crying.	Tom græd.
Tom's Canadian.	Tom er canadier.
Tom's Canadian.	Tom er canadisk.
Tom's a doctor.	Tom er læge.
Tom's bluffing.	Tom bluffer.
Tom's divorced.	Tom er skilt.
Tom's not here.	Tom er ikke her.
Tom's out cold.	Tom er bevidstløs.
Tom's sleeping.	Tom sover.
Tom's studying.	Tom studerer.
Tom's swimming.	Tom svømmer.
Wash your face.	Vask dit ansigt.
We are cousins.	Vi er søskendebørn.
We can't do it.	Vi kan ikke gøre det.
We have a deal.	Vi har en aftale.
We love coffee.	Vi elsker kaffe.
We only kissed.	Vi har kun kysset.
We shook hands.	Vi gav hinanden hånden.
We think alike.	Vi tænker ens.
We went inside.	Vi gik indenfor.
We were afraid.	Vi var bange.
We were beaten.	Vi blev slået.
We'll help you.	Vi vil hjælpe dig.
We'll help you.	Vi vil hjælpe jer.
We'll tell Tom.	Vi siger det til Tom.
We're not rich.	Vi er ikke rige.
We're starving.	Vi sulter.
Were you tired?	Var du træt?
What a hot day!	Sikke en varm dag!
What do you do?	Hvad gør du?
What is it now?	Hvad er der nu?
Where are they?	Hvor er de?
Where is Paris?	Hvor er Paris?
Where is Paris?	Hvor ligger Paris?
Where were you?	Hvor var du?
Where's my car?	Hvor er min bil?
Where's my son?	Hvor er min søn?
Who did he see?	Hvem så han?
Who did he see?	Hvem har han set?
Who found them?	Hvem fandt dem?
Who killed Tom?	Hvem dræbte Tom?
Who's that man?	Hvem er den mand?
Why do you lie?	Hvorfor lyver du?
Why is he here?	Hvorfor er han her?
Wipe your nose.	Tør næsen.
Wipe your nose.	Tør din næse.
Yes, I know it.	Ja, jeg ved det.
You lied to me.	Du løj over for mig.
You lied to me.	Du løj overfor mig.
You look tired.	Du ser træt ud.
You smashed it.	Du har smadret det.
You smashed it.	Du smadrede det.
You smashed it.	Du har smadret den.
You were right.	Du havde ret.
You were wrong.	Du tog fejl.
You're in love.	Du er forelsket.
You're welcome.	Det var så lidt.
You're welcome.	Selv tak!
You've changed.	Du har forandret dig.
Am I boring you?	Keder jeg dig?
Am I boring you?	Keder jeg jer?
Are we all here?	Er vi alle her?
Are you at home?	Er du hjemme?
Are you guys OK?	Er I ok?
Are you married?	Er du gift?
Are you serious?	Mener du det alvorligt?
Balls are round.	Bolde er runde.
Behave yourself.	Opfør dig ordentligt.
Behave yourself.	Opfør jer ordentligt.
Bite the bullet.	Bid i det sure æble.
Call the police!	Ring til politiet!
Can I leave now?	Kan jeg gå nu?
Can you do that?	Kan du gøre det?
Can you find it?	Kan du finde det?
Can you open it?	Kan du åbne det?
Can you open it?	Kan du åbne den?
Clip your nails.	Klip dine negle.
Close your eyes.	Luk dine øjne.
Come if you can.	Kom hvis du kan.
Congratulations!	Tillykke!
Congratulations!	Til lykke!
Congratulations!	Gratulerer!
Did Tom find it?	Fandt Tom det?
Did Tom find it?	Har Tom fundet det?
Did he say that?	Har han sagt det?
Did you get wet?	Blev du våd?
Did you miss me?	Har du savnet mig?
Did you miss me?	Savnede du mig?
Dig a deep hole.	Grav et dybt hul.
Do I look tired?	Ser jeg træt ud?
Do we have time?	Har vi tid?
Do you like Tom?	Kan du lide Tom?
Do you like tea?	Kan du lide te?
Do you love Tom?	Elsker du Tom?
Do you love Tom?	Elsker I Tom?
Do you remember?	Husker du?
Do you think so?	Synes du det?
Don't get drunk.	Bliv ikke beruset!
Don't get drunk.	Drik dig ikke fuld!
Don't overdo it.	Overdriv ikke!
Don't overdo it.	Lad være at overdrive!
Don't trust Tom.	Stol ikke på tom.
Drink your milk.	Drik din mælk.
Get off my lawn.	Forsvind fra min græsplæne!
Get out of here.	Forsvind herfra.
Get out of here.	Gå væk herfra.
Give them to me.	Giv mig dem!
God created man.	Gud skabte mennesket.
He bought a car.	Han har købt en bil.
He came running.	Han kom løbende.
He did not come.	Han kom ikke.
He did not come.	Han er ikke kommet.
He had no money.	Han havde ingen penge.
He had no money.	Han havde ikke nogen penge.
He has two cats.	Han har to katte.
He has two dogs.	Han har to hunde.
He is a painter.	Han er maler.
He just arrived.	Han er lige kommet.
He likes Disney.	Han holder af Disney.
He looks strong.	Han ser stærk ud.
He loves soccer.	Han elsker fodbold.
He made her cry.	Han fik hende til at græde.
He seems honest.	Han synes at være ærlig.
He tires easily.	Han bliver let træt.
He writes books.	Han skriver bøger.
He's a gardener.	Han er gartner.
He's a tall boy.	Han er en høj dreng.
He's dead drunk.	Han er kanonfuld.
He's helping me.	Han hjælper mig.
He's her friend.	Han er hendes ven.
He's photogenic.	Han er fotogen.
Here's your dog.	Her er din hund.
His name is Tom.	Hans navn er Tom.
How about 12:45?	Hvad med 12:45?
How big you are!	Så stor du er!
How legal is it?	Hvor lovligt er det?
How old are you?	Hvor gammel er du?
I abhor spiders.	Jeg afskyr edderkopper.
I abhor spiders.	Jeg afskyer edderkopper.
I abhor spiders.	Jeg kan ikke fordrage edderkopper.
I also did that.	Jeg gjorde også det.
I am from Egypt.	Jeg er fra Ægypten.
I am from Spain.	Jeg er fra Spanien.
I am not afraid.	Jeg er ikke bange.
I am not eating.	Jeg spiser ikke.
I am very sorry.	Det beklager jeg meget.
I am very tired.	Jeg er meget træt.
I ate an orange.	Jeg spiste en appelsin.
I ate the apple.	Jeg spiste æblet.
I bit my tongue.	Jeg bed mig i tungen.
I can't hear it.	Jeg kan ikke høre det.
I can't see you.	Jeg kan ikke se dig.
I cycle to work.	Jeg cykler til arbejde.
I cycle to work.	Jeg tager cyklen til arbejde.
I got sunburned.	Jeg blev solskoldet.
I hate shopping.	Jeg hader at gå på indkøb.
I have a guitar.	Jeg har en guitar.
I have a pencil.	Jeg har en blyant.
I have an apple.	Jeg har et æble.
I have bad news.	Jeg har en dårlig nyhed.
I have bad news.	Jeg har dårlige nyheder.
I have to sleep.	Jeg skal sove.
I have two cats.	Jeg har to katte.
I have two cats.	Jeg ejer to katte.
I hope Tom wins.	Jeg håber Tom vinder.
I hope it rains.	Jeg håber det regner.
I just found it.	Jeg har lige fundet det.
I just found it.	Jeg har lige fundet den.
I just got home.	Jeg er lige kommet hjem.
I know his name.	Jeg kender hans navn.
I know your son.	Jeg kender din søn.
I lay on my bed.	Jeg lå på min seng.
I like to drive.	Jeg kan godt lide at køre.
I like your cat.	Jeg kan godt lide din kat.
I live in Hyogo.	Jeg bor i Hyogo.
I lived in Rome.	Jeg boede i Rom.
I look like Tom.	Jeg ligner Tom.
I look like Tom.	Jeg ser ud som Tom.
I lost my watch.	Jeg mistede mit ur.
I love hot dogs.	Jeg elsker hotdogs.
I love to sleep.	Jeg elsker at sove.
I love you guys.	Jeg elsker jer.
I love you, too.	Jeg elsker også dig.
I made brownies.	Jeg har lavet brownies.
I made brownies.	Jeg har lavet brownier.
I need a doctor.	Jeg har brug for en læge.
I need a doctor.	Jeg har brug for en læge!
I need a hammer.	Jeg har brug for en hammer.
I need a pencil.	Jeg har brug for en blyant.
I never give up.	Jeg giver aldrig op.
I often see him.	Jeg ser ham ofte.
I paid for them.	Jeg betalte for dem.
I paid for them.	Jeg har betalt for dem.
I paid my taxes.	Jeg har betalt mine skat.
I put on my wig.	Jeg tager min paryk på.
I rang the bell.	Jeg ringede på klokken.
I read the book.	Jeg læste bogen.
I run every day.	Jeg løber hver dag.
I see the queen.	Jeg ser dronningen.
I speak Swedish.	Jeg taler svensk.
I think so, too.	Det tror jeg også.
I want a guitar.	Jeg vil have en guitar.
I want a parrot.	Jeg vil have en papegøje.
I want an apple.	Jeg vil gerne have et æble.
I want an apple.	Jeg vil have et æble.
I want to learn.	Jeg ønsker at lære.
I want to sleep.	Jeg vil sove.
I was a teacher.	Jeg var lærer.
I was at school.	Jeg var i skole.
I was too small.	Jeg var for lille.
I went shopping.	Jeg tog på indkøb.
I wish you well.	Jeg ønsker dig held og lykke.
I wish you well.	Jeg ønsker dig alt godt.
I won't give up.	Jeg vil ikke give op.
I'll go ask Tom.	Jeg vil gå hen og spørge Tom.
I'll go by taxi.	Jeg vil tage en taxi.
I'm Tom's niece.	Jeg er Toms niece.
I'm a bit tipsy.	Jeg er en smule bedugget.
I'm about ready.	Jeg er næsten færdig.
I'm always here.	Jeg er altid her.
I'm color-blind.	Jeg er farveblind.
I'm from Canada.	Jeg er fra Canada.
I'm my own boss.	Jeg er min egen direktør.
I'm my own boss.	Jeg er min egen chef.
I'm not a child.	Jeg er ikke et barn.
I'm not a robot.	Jeg er ikke en robot.
I'm not sulking.	Jeg surmuler ikke.
I'm not thirsty.	Jeg er ikke tørstig.
I'm on the list.	Jeg er på listen.
I'm very sleepy.	Jeg er meget søvnig.
Is Tom Canadian?	Er Tom canadisk?
Is anybody here?	Er der nogen her?
Is it dangerous?	Er det farligt?
Is it important?	Er det vigtigt?
Is it too salty?	Er det for salt?
Is it too salty?	Er den for salt?
Is she a doctor?	Er hun en læge?
Is your car new?	Er din bil ny?
It is hot today.	Det er varmt i dag.
